user_id,user_label,condition,tas_at_10,ild_at_10
d144e908-6727-4e93-98fb-eb7bc94f9aaa,Carlos — Picante/Umami,SISTEMA,0.873145,0.180916
d144e908-6727-4e93-98fb-eb7bc94f9aaa,Carlos — Picante/Umami,BAYESIANO,0.886362,0.305072
d144e908-6727-4e93-98fb-eb7bc94f9aaa,Carlos — Picante/Umami,COSENO,0.893959,0.178794
d144e908-6727-4e93-98fb-eb7bc94f9aaa,Carlos — Picante/Umami,POPULARIDAD,0.76592,0.530726
d144e908-6727-4e93-98fb-eb7bc94f9aaa,Carlos — Picante/Umami,ALEATORIO,0.787227,0.543518
1041f926-b484-491b-87a4-f27a68e36748,Valentina — Dulce/Suave,SISTEMA,0.965794,0.165062
1041f926-b484-491b-87a4-f27a68e36748,Valentina — Dulce/Suave,BAYESIANO,0.979867,0.242449
1041f926-b484-491b-87a4-f27a68e36748,Valentina — Dulce/Suave,COSENO,0.959322,0.107066
1041f926-b484-491b-87a4-f27a68e36748,Valentina — Dulce/Suave,POPULARIDAD,0.822896,0.530726
1041f926-b484-491b-87a4-f27a68e36748,Valentina — Dulce/Suave,ALEATORIO,0.880293,0.543518
2999c357-8445-4019-88a7-3764c818e970,Andres — Umami/Graso,SISTEMA,0.958213,0.103885
2999c357-8445-4019-88a7-3764c818e970,Andres — Umami/Graso,BAYESIANO,0.981393,0.332702
2999c357-8445-4019-88a7-3764c818e970,Andres — Umami/Graso,COSENO,0.972616,0.120788
2999c357-8445-4019-88a7-3764c818e970,Andres — Umami/Graso,POPULARIDAD,0.795553,0.530726
2999c357-8445-4019-88a7-3764c818e970,Andres — Umami/Graso,ALEATORIO,0.875214,0.543518
24a3ad17-6d27-4576-97a7-8804e18fe563,Maria — Vegana/Acida,SISTEMA,0.870516,0.222542
24a3ad17-6d27-4576-97a7-8804e18fe563,Maria — Vegana/Acida,BAYESIANO,0.929696,0.398591
24a3ad17-6d27-4576-97a7-8804e18fe563,Maria — Vegana/Acida,COSENO,0.870516,0.222542
24a3ad17-6d27-4576-97a7-8804e18fe563,Maria — Vegana/Acida,POPULARIDAD,0.848468,0.302847
24a3ad17-6d27-4576-97a7-8804e18fe563,Maria — Vegana/Acida,ALEATORIO,0.818573,0.31479
0bae9069-8463-426f-b203-e1cbb0842f03,Santiago — Equilibrado/Explorador,SISTEMA,0.891303,0.100465
0bae9069-8463-426f-b203-e1cbb0842f03,Santiago — Equilibrado/Explorador,BAYESIANO,0.96063,0.297013
0bae9069-8463-426f-b203-e1cbb0842f03,Santiago — Equilibrado/Explorador,COSENO,0.884091,0.072256
0bae9069-8463-426f-b203-e1cbb0842f03,Santiago — Equilibrado/Explorador,POPULARIDAD,0.91966,0.530726
0bae9069-8463-426f-b203-e1cbb0842f03,Santiago — Equilibrado/Explorador,ALEATORIO,0.959372,0.543518
84058326-9054-4c18-83ce-b4ccb1473abd,Isabella — Sin Gluten,SISTEMA,0.85383,0.277425
84058326-9054-4c18-83ce-b4ccb1473abd,Isabella — Sin Gluten,BAYESIANO,0.919306,0.409125
84058326-9054-4c18-83ce-b4ccb1473abd,Isabella — Sin Gluten,COSENO,0.8994,0.324838
84058326-9054-4c18-83ce-b4ccb1473abd,Isabella — Sin Gluten,POPULARIDAD,0.898741,0.577705
84058326-9054-4c18-83ce-b4ccb1473abd,Isabella — Sin Gluten,ALEATORIO,0.887469,0.591608
