user_i,user_j,profile_distance,rec_distance_bayesiano,rec_distance_popularidad
Carlos,Valentina,0.499168,1.0,0.0
Carlos,Andres,0.073705,0.571429,0.0
Carlos,Maria,0.291159,0.947368,1.0
Carlos,Santiago,0.101311,0.666667,0.0
Carlos,Isabella,0.236319,0.666667,0.181818
Carlos,Marcos,0.318761,0.571429,0.0
Carlos,Lucia,0.122771,0.75,0.0
Carlos,Diego,0.11357,0.461538,0.0
Valentina,Andres,0.399793,0.888889,0.0
Valentina,Maria,0.284298,0.947368,1.0
Valentina,Santiago,0.223063,0.823529,0.0
Valentina,Isabella,0.100305,0.947368,0.181818
Valentina,Marcos,0.487709,0.947368,0.0
Valentina,Lucia,0.413963,0.888889,0.0
Valentina,Diego,0.542388,0.947368,0.0
Andres,Maria,0.312709,0.947368,1.0
Andres,Santiago,0.058308,0.333333,0.0
Andres,Isabella,0.145187,0.823529,0.181818
Andres,Marcos,0.265819,0.666667,0.0
Andres,Lucia,0.028852,0.333333,0.0
Andres,Diego,0.236341,0.666667,0.0
Maria,Santiago,0.135213,0.888889,1.0
Maria,Isabella,0.202032,0.947368,1.0
Maria,Marcos,0.111022,0.947368,1.0
Maria,Lucia,0.388662,1.0,1.0
Maria,Diego,0.11672,0.947368,1.0
Santiago,Isabella,0.046298,0.823529,0.181818
Santiago,Marcos,0.196131,0.75,0.0
Santiago,Lucia,0.105634,0.461538,0.0
Santiago,Diego,0.165957,0.75,0.0
Isabella,Marcos,0.335279,0.75,0.181818
Isabella,Lucia,0.185659,0.888889,0.181818
Isabella,Diego,0.341599,0.666667,0.181818
Marcos,Lucia,0.31798,0.75,0.0
Marcos,Diego,0.146951,0.181818,0.0
Lucia,Diego,0.315851,0.75,0.0
